stock,sector
ELECTHERM,
ELGIEQUIP,
ELGIRUBCO,
ELIN,
ELLEN,
EMAMILTD,
EMAMIPAP,
EMAMIREAL,
EMBDL,
EMCURE,
EMIL,
EMKAY,
EMMBI,
EMMVEE,
EMSLIMITED,
EMUDHRA,
ENDURANCE,
ENERGYDEV,
ENGINERSIN,
ENIL,
ENRIN,
ENTERO,
EPACK,
EPACKPEB,
EPIGRAL,
EPL,
EQUIPPP,
EQUITASBNK,
ERIS,
ESABINDIA,
ESAFSFB,
ESCORTS,Automobile
ESSARSHPNG,
ESSENTIA,
ESTER,
ETERNAL,
ETHOSLTD,
EUREKAFORB,
EUROBOND,
EUROPRATIK,
EUROTEXIND,
EVEREADY,
EVERESTIND,
EXCEL,
EXCELINDUS,
EXCELSOFT,
EXICOM,
EXIDEIND,
EXPLEOSOL,
EXXARO,
FABTECH,
FACT,
FAIRCHEMOR,
FAZE3Q,
FCL,
FCSSOFT,
FDC,
FEDERALBNK,
FEDFINA,
FEL,
FELDVR,
FIBERWEB,
FIEMIND,
FILATEX,
FILATFASH,
FINCABLES,
FINEORG,
FINKURVE,
FINOPB,
FINPIPE,
FIRSTCRY,
FISCHER,
FIVESTAR,
FLAIR,
FLEXITUFF,
FLFL,
FLUOROCHEM,
FMGOETZE,
FMNL,
FOCUS,
FOODSIN,
FORCEMOT,
FORTIS,Healthcare
FOSECOIND,
FRACTAL,
FSL,
FUSION,
GABRIEL,
GAEL,
GAIL,Logistics
GALAPREC,
GALAXYSURF,
GALLANTT,
GANDHAR,
GANDHITUBE,
GANECOS,
GANESHBE,
GANESHCP,
GANESHHOU,
GANGAFORGE,
GANGESSECU,
GARFIBRES,
GARUDA,
GATECH,
GATECHDVR,
GATEWAY,
GAUDIUMIVF,
GAYAHWS,
GCSL,
GEECEE,
GEEKAYWIRE,
GEMAROMA,
GENCON,
GENESYS,
GENUSPAPER,
GENUSPOWER,
GEOJITFSL,
GESHIP,
GFLLIMITED,
GHCL,
GHCLTEXTIL,
GICHSGFIN,
GICL,
GICRE,
GILLANDERS,
GILLETTE,
GINNIFILA,
GIPCL,
GKENERGY,
GKSL,
GKWLIMITED,
GLAND,
GLAXO,
GLENMARK,
GLFL,
GLOBAL,
GLOBALE,
GLOBALVECT,
GLOBE,
GLOBECIVIL,
GLOBUSSPR,
GLOSTERLTD,
GLOTTIS,
GMBREW,
GMDCLTD,
GMMPFAUDLR,
GMRAIRPORT,
GMRP&UI,
GNA,
GNFC,
GOACARBON,
GOCLCORP,
GOCOLORS,
GODAVARIB,
GODFRYPHLP,
GODIGIT,
GODREJAGRO,
GODREJCP,FMCG
GODREJIND,
GODREJPROP,Real_Estate
GOKEX,
GOKUL,
GOKULAGRO,
GOLDENTOBC,
GOLDIAM,
GOLDTECH,
GOODLUCK,
GOPAL,
GOYALALUM,
GPIL,
GPPL,
GPTHEALTH,
GPTINFRA,
GRANULES,
GRAPHITE,
GRASIM,Cement
GRAVITA,
GREAVESCOT,
GREENLAM,
GREENPANEL,
GREENPLY,
GREENPOWER,
GRINDWELL,
GRINFRA,
GRMOVER,
GROBTEA,
GROWW,
GRPLTD,
GRSE,
GRWRHITECH,
GSFC,
GSLSU,
GSPL,
GSS,
GTECJAINX,
GTL,
GTLINFRA,
GTPL,
GUFICBIO,
GUJALKALI,
GUJAPOLLO,
GUJGASLTD,
GUJRAFFIA,
GUJTHEM,
GULFOILLUB,
GULFPETRO,
GULPOLY,
GVKPIL,
GVPIL,
GVPTECH,
GVT&D,
HAL,
HALDER,
HALEOSLABS,
HAPPSTMNDS,
HAPPYFORGE,
HARDWYN,
HARIOMPIPE,
HARRMALAYA,
HARSHA,
HATHWAY,
HATSUN,
HAVELLS,Consumer_Durables
HAVISHA,
HBLENGINE,
HBSL,
HCC,
HCG,
HCL-INSYS,
HCLTECH,IT
HDBFS,
HDFCAMC,Financial_Services
HDFCBANK,Financial_Services
HDFCLIFE,Financial_Services
HEADSUP,
HECPROJECT,
HEG,
HEIDELBERG,
HEMIPROP,
HERANBA,
HERITGFOOD,
HEROMOTOCO,Automobile
HESTERBIO,
HEXATRADEX,
HEXT,
HFCL,
HGINFRA,
HGM,
HGS,
HIKAL,
HILINFRA,
HILTON,
HIMATSEIDE,
HINDALCO,Metals
HINDCOMPOS,
HINDCON,
HINDCOPPER,
HINDOILEXP,
HINDPETRO,Oil_Gas
HINDUNILVR,FMCG
HINDWAREAP,
HINDZINC,Metals
HIRECT,
HISARMETAL,
HITECH,
HITECHCORP,
HITECHGEAR,
HLEGLAS,
HLVLTD,
HMAAGRO,
HMT,
HMVL,
HNDFDS,
HOMEFIRST,
HONASA,
HONAUT,
HONDAPOWER,
HPAL,
HPIL,
HPL,
HSCL,
HTMEDIA,
HUBTOWN,
HUDCO,
HUHTAMAKI,
HYBRIDFIN,
HYUNDAI,
IBULLSLTD,
ICDSLTD,
ICEMAKE,
ICICIAMC,
ICICIBANK,Financial_Services
ICICIGI,Financial_Services
ICICIPRULI,
ICIL,
ICRA,
IDBI,
IDEA,
IDEAFORGE,
IDFCFIRSTB,
IEX,
IFBAGRO,
IFBIND,
IFCI,
IFGLEXPOR,
IGARASHI,
IGCL,
IGIL,
IGL,Others
IGPL,
IIFL,
IIFLCAPS,
IITL,
IKIO,
IKS,
IL&FSENGG,
IL&FSTRANS,
IMAGICAA,
IMFA,
IMPAL,
IMPEXFERRO,
INA,
INCREDIBLE,
INDBANK,
INDGN,
INDHOTEL,
INDIACEM,
INDIAGLYCO,
INDIAMART,
INDIANB,
INDIANCARD,
INDIANHUME,
INDIASHLTR,
INDIGO,Others
INDIGOPNTS,
INDIQUBE,
INDNIPPON,
INDOAMIN,
INDOBORAX,
INDOCO,
INDOFARM,
INDORAMA,
INDOSTAR,
INDOTECH,
INDOTHAI,
INDOUS,
INDOWIND,
INDRAMEDCO,
INDSWFTLAB,
INDTERRAIN,
INDUSINDBK,Telecom
INDUSTOWER,
INFOBEAN,
INFOMEDIA,
INFY,IT
INGERRAND,
INNOVACAP,
INNOVANA,
INOXGREEN,
INOXINDIA,
INOXWIND,
INSECTICID,
INSPIRISYS,
INTELLECT,
INTENTECH,
INTERARCH,
INTLCONV,
INVENTURE,
IOB,
IOC,Oil_Gas
IOLCP,
IONEXCHANG,
IPCALAB,
IPL,
IRB,
IRCON,
IRCTC,
IREDA,
IRFC,
IRIS,
IRISDOREME,
IRMENERGY,
ISFT,
ISGEC,
ISHANCH,
ITC,FMCG
ITCHOTELS,
ITDC,
ITI,
IVALUE,
IVC,
IVP,
IXIGO,
IZMO,
J&KBANK,
JAGRAN,
JAGSNPHARM,
JAIBALAJI,
JAICORPLTD,
JAINREC,
JAIPURKURT,
JAMNAAUTO,
JARO,
JASH,
JAYAGROGN,
JAYBARMARU,
JAYKAY,
JAYNECOIND,
JAYSREETEA,
JBCHEPHARM,
JBMA,
JETFREIGHT,
JGCHEM,
JHS,
JINDALPHOT,
JINDALPOLY,
JINDALSAW,
JINDALSTEL,Metals
JINDRILL,
JINDWORLD,
JIOFIN,
JISLDVREQS,
JISLJALEQS,
JITFINFRA,
JKCEMENT,
JKIL,
JKIPL,
JKLAKSHMI,
JKPAPER,
JKTYRE,
JLHL,
JMA,
JMFINANCIL,
JNKINDIA,
JOCIL,
JPASSOCIAT,
JPOLYINVST,
JPPOWER,
JSFB,
JSL,
JSLL,
JSWCEMENT,
JSWENERGY,
JSWHL,
JSWINFRA,
JSWSTEEL,Metals
JTEKTINDIA,
JTLIND,
JUBLCPL,
JUBLFOOD,Retail
JUBLINGREA,
JUBLPHARMA,
JUNIPER,
JUSTDIAL,
JWL,
JYOTHYLAB,
JYOTICNC,
JYOTISTRUC,
KABRAEXTRU,
KAJARIACER,
KAKATCEM,
KALAMANDIR,
KALPATARU,
KALYANI,
KALYANIFRG,
KALYANKJIL,
KAMATHOTEL,
KAMDHENU,
KAMOPAINTS,
KANANIIND,
KANORICHEM,
KANPRPLA,
KANSAINER,
KAPSTON,
KARMAENG,
KARURVYSYA,
KAUSHALYA,
KAVDEFENCE,
KAYA,
KAYNES,
KCP,
KCPSUGIND,
KDDL,
KEC,
KECL,
KEEPLEARN,
KEI,
KELLTONTEC,
KERNEX,
KESORAMIND,
KEYFINSERV,
KFINTECH,
KHADIM,
KHAICHEM,
KHAITANLTD,
KHANDSE,
KICL,
KILITCH,
KIMS,
KINGFA,
KIOCL,
KIRIINDUS,
KIRLOSBROS,
KIRLOSENG,
KIRLOSIND,
KIRLPNU,
KITEX,
KKCL,
KMEW,
KMSUGAR,
KNAGRI,
KNRCON,
KOHINOOR,
KOKUYOCMLN,
KOLTEPATIL,
KOPRAN,
KOTAKBANK,Financial_Services
KOTARISUG,
KOTHARIPET,
KOTHARIPRO,
KOTYARK,
KPEL,
KPIGREEN,
KPIL,
KPITTECH,
KPRMILL,
KRBL,
KREBSBIO,
KRIDHANINF,
KRISHANA,
KRISHIVAL,
KRISHNADEF,
KRITI,
KRITIKA,
KRITINUT,
KRN,
KRONOX,
KROSS,
KRSNAA,
KRYSTAL,
KSB,
KSCL,
KSHINTL,
KSHITIJPOL,
KSL,
KSOLVES,
KSR,
KTKBANK,
KUANTUM,
KWIL,
LAGNAM,
LAKPRE,
LAL,
LALPATHLAB,
LAMBODHARA,
LANCORHOL,
LANDMARK,
LAOPALA,
LASA,
LATENTVIEW,
LATTEYS,
LAURUSLABS,
LAXMICOT,
LAXMIDENTL,
LAXMIINDIA,
LCCINFOTEC,
LEMERITE,
LEMONTREE,
LENSKART,
LEXUS,
LFIC,
LGBBROSLTD,
LGEINDIA,
LGHL,
LIBAS,
LIBERTSHOE,
LICHSGFIN,
LICI,
LIKHITHA,
LINC,
LINCOLN,
LINDEINDIA,
LLOYDSENGG,
LLOYDSENT,
LLOYDSME,
LMW,
LODHA,
LOKESHMACH,
LORDSCHLO,
LOTUSDEV,
LOTUSEYE,
LOVABLE,
LOYALTEX,
LPDC,
LT,Capital_Goods
LTF,
LTFOODS,
LTM,
LTTS,IT
LUMAXIND,
LUMAXTECH,
LUPIN,Pharma
LUXIND,
LXCHEM,
LYKALABS,
LYPSAGEMS,
M&M,Automobile
M&MFIN,
MAANALU,
MACPOWER,
MADHAV,
MADHUCON,
MADRASFERT,
MAGADSUGAR,
MAGNUM,
MAHABANK,
MAHAPEXLTD,
MAHASTEEL,
MAHEPC,
MAHESHWARI,
MAHLIFE,
MAHLOG,
MAHSCOOTER,
MAHSEAMLES,
MAITHANALL,
MALLCOM,
MALUPAPER,
MAMATA,
MANAKALUCO,
MANAKCOAT,
MANAKSIA,
MANAKSTEEL,
MANALIPETC,
MANAPPURAM,
MANBA,
MANCREDIT,
MANGALAM,
MANGLMCEM,
MANINDS,
MANINFRA,
MANKIND,
MANOMAY,
MANORAMA,
MANORG,
MANUGRAPH,
MANYAVAR,
MAPMYINDIA,
MARALOVER,
MARATHON,
MARICO,FMCG
MARINE,
MARKOLINES,
MARKSANS,
MARUTI,Automobile
MASFIN,
MASKINVEST,
MASTEK,
MASTERTR,
MATRIMONY,
MAWANASUG,
MAXESTATES,
MAXHEALTH,Healthcare
MAXIND,
MAYURUNIQ,
MAZDA,
MAZDOCK,
MBAPL,
MBEL,
MBLINFRA,
MCL,
MCLEODRUSS,
MCLOUD,
MCX,
MEDANTA,
MEDIASSIST,
MEDICAMEQ,
MEDICO,
MEDPLUS,
MEESHO,
MEGASTAR,
MEIL,
MENONBE,
MEP,
METROBRAND,
METROPOLIS,
MFML,
MFSL,
MGEL,
MGL,
MHLXMIRU,
MHRIL,
MICEL,
MIDHANI,
MIDWESTLTD,
MINDACORP,
MINDTECK,
MIRCELECTR,
MIRZAINT,
MITCON,
MITTAL,
MKPL,
MMFL,
MMP,
MMTC,
MOBIKWIK,
MODINATUR,
MODIRUBBER,
MODIS,
MODISONLTD,
MODTHREAD,
MOHITIND,
MOIL,
MOKSH,
MOL,
MOLDTECH,
MOLDTKPAC,
MONARCH,
MONEYBOXX,
MONTECARLO,
MORARJEE,
MOREPENLAB,
MOSCHIP,
MOTHERSON,Others
MOTILALOFS,
MOTISONS,
MOTOGENFIN,
MPHASIS,IT
MPSLTD,
MRF,
MRPL,
MSPL,
MSTCLTD,
MSUMI,
MTARTECH,
MTEDUCARE,
MTNL,
MUFIN,
MUFTI,
MUKANDLTD,
MUKKA,
MUKTAARTS,
MUNJALAU,
MUNJALSHOW,
MURUDCERA,
MUTHOOTCAP,
MUTHOOTFIN,
MUTHOOTMF,
MVGJL,
MWL,
NACLIND,
NAGAFERT,
NAGREEKCAP,
NAGREEKEXP,
NAHARCAP,
NAHARINDUS,
NAHARPOLY,
NAHARSPING,
NAM-INDIA,
NARMADA,
NATCAPSUQ,
NATCOPHARM,
NATHBIOGEN,
NATIONALUM,
NAUKRI,
NAVA,
NAVINFLUOR,
NAVKARCORP,
NAVKARURB,
NAVNETEDUL,
NAZARA,
NBCC,
NBIFIN,
NCC,
NCLIND,
NDGL,
NDL,
NDLVENTURE,
NDRAUTO,
NDTV,
NECCLTD,
NECLIFE,
NELCAST,
NELCO,
NEOGEN,
NEPHROPLUS,
NESCO,
NESTLEIND,FMCG
NETWEB,
NETWORK18,
NEULANDLAB,
NEWGEN,
NEXTMEDIA,
NFL,
NGIL,
NGLFINE,
NH,
NHPC,
NIACL,
NIBE,
NIBL,
NIITLTD,
NIITMTS,
NILAINFRA,
NILASPACES,
NILKAMAL,
NINSYS,
NIPPOBATRY,
NIRAJ,
NIRAJISPAT,
NITCO,
NITINSPIN,
NITIRAJ,
NIVABUPA,
NKIND,
NLCINDIA,
NMDC,Metals
NOCIL,
NOIDATOLL,
NORBTEAEXP,
NORTHARC,
NOVAAGRI,
NPST,
NRAIL,
NRBBEARING,
NRL,
NSIL,
NSLNISP,
NTPC,Power
NTPCGREEN,
NUCLEUS,
NURECA,
NUVAMA,
NUVOCO,
NYKAA,
OAL,
OBCL,
OBEROIRLTY,Real_Estate
OCCLLTD,
ODIGMA,
OFSS,
OIL,Oil_Gas
OILCOUNTUB,
OLAELEC,
OLECTRA,
OMAXAUTO,
OMAXE,
OMFREIGHT,
OMINFRAL,
OMKARCHEM,
OMNI,
ONELIFECAP,
ONEPOINT,
ONESOURCE,
ONGC,Oil_Gas
ONMOBILE,
ONWARDTEC,
OPTIEMUS,
ORBTEXP,
ORCHASP,
ORCHPHARMA,
ORICONENT,
ORIENTALTL,
ORIENTBELL,
ORIENTCEM,
ORIENTCER,
ORIENTELEC,
ORIENTHOT,
ORIENTLTD,
ORIENTPPR,
ORIENTTECH,
ORISSAMINE,
ORKLAINDIA,
ORTEL,
ORTINGLOBE,
OSIAHYPER,
OSWALAGRO,
OSWALGREEN,
OSWALPUMPS,
OSWALSEEDS,
PACEDIGITK,
PAGEIND,Others
PAISALO,
PAKKA,
PALASHSECU,
PALREDTEC,
PANACEABIO,
PANACHE,
PANAMAPET,
PANSARI,
PAR,
PARACABLES,
PARADEEP,
PARAGMILK,
PARAS,
PARASPETRO,
PARKHOSPS,
PARKHOTELS,
PARSVNATH,
PASHUPATI,
PASUPTAC,
PATANJALI,
PATELENG,
PATELRMART,
PATINTLOG,
PAUSHAKLTD,
PAVNAIND,
PAYTM,
PCBL,
PCJEWELLER,
PDMJEPAPER,
PDSL,
PEARLPOLY,
PENIND,
PENINLAND,
PERSISTENT,IT
PETRONET,
PFC,
PFIZER,
PFOCUS,
PFS,
PGEL,
PGHH,
PGHL,
PGIL,
PHOENIXLTD,
PICCADIL,
PIDILITIND,Paints
PIGL,
PIIND,Others
PILANIINVS,
PILITA,
PINELABS,
PIONEEREMB,
PIRAMALFIN,
PITTIENG,
PIXTRANS,
PKTEA,
PLASTIBLEN,
PLATIND,
PLAZACABLE,
PNB,
PNBGILTS,
PNBHOUSING,
PNC,
PNCINFRA,
PNGJL,
PNGSREVA,
POCL,
PODDARMENT,
POKARNA,
POLICYBZR,
POLYCAB,
POLYMED,
POLYPLEX,
PONNIERODE,
POONAWALLA,
POWERGRID,Power
POWERINDIA,
POWERMECH,
PPAP,
PPL,
PPLPHARMA,
PRABHA,
PRAENG,
PRAJIND,
PRAKASH,
PRAKASHSTL,
PRAXIS,
PRECAM,
PRECOT,
PRECWIRE,
PREMEXPLN,
PREMIER,
PREMIERENE,
PREMIERPOL,
PRESTIGE,Real_Estate
PRICOLLTD,
PRIMESECU,
PRIMO,
PRINCEPIPE,
PRITI,
PRITIKAUTO,
PRIVISCL,
PROSTARM,
PROTEAN,
PROZONER,
PRSMJOHNSN,
PRUDENT,
PRUDMOULI,
PSB,
PSPPROJECT,
PTC,
PTCIL,
PTL,
PUNJABCHEM,
PURVA,
PVP,
PVRINOX,
PVSL,
PWL,
PYRAMID,
QPOWER,
QUADFUTURE,
QUESS,
QUICKHEAL,
RACE,
RACLGEAR,
RADAAN,
RADHIKAJWE,
RADIANTCMS,
RADICO,
RADIOCITY,
RAILTEL,
RAIN,
RAINBOW,
RAJESHEXPO,
RAJMET,
RAJOOENG,
RAJRATAN,
RAJRILTD,
RAJSREESUG,
RAJTV,
RALLIS,
RAMANEWS,
RAMAPHO,
RAMASTEEL,
RAMCOCEM,Cement
RAMCOIND,
RAMCOSYS,
RAMKY,
RAMRAT,
RANASUG,
RANEHOLDIN,
RATEGAIN,
RATNAMANI,
RATNAVEER,
RAYMOND,
RAYMONDLSL,
RAYMONDREL,
RBA,
RBLBANK,
RBZJEWEL,
RCF,
RCOM,
RECLTD,
REDINGTON,
REDTAPE,
REFEX,
REGAAL,
REGENCERAM,
RELAXO,
RELCHEMQ,
RELIABLE,
RELIANCE,Oil_Gas
RELIGARE,
RELINFRA,
RELTD,
REMSONSIND,
RENUKA,
REPCOHOME,
REPL,
REPRO,
RESPONIND,
RETAIL,
RGL,
RHETAN,
RHFL,
RHIM,
RHL,
RICOAUTO,
RIIL,
RISHABH,
RITCO,
RITES,
RKDL,
RKEC,
RKFORGE,
RKSWAMY,
RMDRIP,
RML,
RNBDENIMS,
ROHLTD,
ROLEXRINGS,
ROLLT,
ROML,
ROSSARI,
